#,When,Who,Problem_name,Number,Character
208768113,Jun/06/2023 18:37,DARK-N,Ski Resort,1840,C
208721953,Jun/06/2023 17:39,DARK-N,Cipher Shifer,1840,A
207839405,May/30/2023 13:03,DARK-N,Array merging,1831,B
207791423,May/29/2023 21:50,DARK-N,Twin Permutations,1831,A
207417046,May/27/2023 06:06,DARK-N,Distance in Tree,161,D
207321469,May/26/2023 10:50,DARK-N,Distance in Tree,161,D
207320637,May/26/2023 10:42,DARK-N,Multiplication Table,448,D
207108858,May/25/2023 09:37,DARK-N,Carousel,1328,D
207108718,May/25/2023 09:35,DARK-N,Carousel,1328,D
206545005,May/19/2023 19:54,DARK-N,Ira and Flamenco,1833,F
206532911,May/19/2023 19:26,DARK-N,Round Dance,1833,E
206489766,May/19/2023 18:08,DARK-N,Vlad Building Beautiful Array,1833,C
206473039,May/19/2023 17:49,DARK-N,Restore the Weather,1833,B
206458300,May/19/2023 17:37,DARK-N,Musical Puzzle,1833,A
206332418,May/18/2023 14:28,DARK-N,Equalize the Remainders,999,D
206325222,May/18/2023 13:21,DARK-N,Alphabetic Removals,999,C
205586071,May/12/2023 18:23,DARK-N,Contrast Value,1832,C
205564205,May/12/2023 17:50,DARK-N,Maximum Sum,1832,B
205548988,May/12/2023 17:37,DARK-N,New Palindrome,1832,A
205147127,May/08/2023 20:03,DARK-N,Dima and Salad,366,C
204832488,May/06/2023 18:40,DARK-N,Don't Blame Me,1829,H
204815350,May/06/2023 18:20,DARK-N,Forever Winter,1829,F
204802873,May/06/2023 18:07,DARK-N,Gold Rush,1829,D
204792430,May/06/2023 17:58,DARK-N,The Lakes,1829,E
204769004,May/06/2023 17:42,DARK-N,Mr. Perfectly Fine,1829,C
204758084,May/06/2023 17:38,DARK-N,Blank Space,1829,B
204750815,May/06/2023 17:36,DARK-N,Love Story,1829,A
203703838,Apr/27/2023 18:49,DARK-N,A characteristic,1823,A
203700821,Apr/27/2023 18:39,DARK-N,Sort with Step,1823,B
203407438,Apr/25/2023 10:21,DARK-N,Coupons and Discounts,731,B
203312968,Apr/24/2023 18:46,DARK-N,Super Permutation,1822,D
203278583,Apr/24/2023 17:57,DARK-N,Bun Lover,1822,C
203263802,Apr/24/2023 17:43,DARK-N,Karina and Array,1822,B
203260927,Apr/24/2023 17:41,DARK-N,TubeTube Feed,1822,A
203122095,Apr/23/2023 10:49,DARK-N,Fixed Points,1551,E
202825696,Apr/20/2023 17:39,DARK-N,Matching,1821,A
202217670,Apr/15/2023 13:32,DARK-N,JoJo's Incredible Adventures,1820,B
202202934,Apr/15/2023 12:56,DARK-N,Constructive Problem,1820,C
202182856,Apr/15/2023 12:15,DARK-N,Yura's New Name,1820,A
201616271,Apr/10/2023 08:22,DARK-N,Essay Time,102254,E
201558756,Apr/09/2023 19:50,DARK-N,Ian and Array Sorting,1816,C
201519365,Apr/09/2023 18:30,DARK-N,Ian Visits Mary,1816,A
201502165,Apr/09/2023 18:10,DARK-N,Grid Reconstruction,1816,B
201311083,Apr/08/2023 18:01,DARK-N,Li Hua and Pattern,1797,B
201266966,Apr/08/2023 17:10,DARK-N,Li Hua and Maze,1797,A
201210656,Apr/08/2023 07:28,DARK-N,Long Legs,1814,B
201036297,Apr/06/2023 18:54,DARK-N,Search in Parallel,1814,C
200990646,Apr/06/2023 17:40,DARK-N,Coins,1814,A
200842341,Apr/05/2023 10:24,DARK-N,Unmysterious Language,1812,J
200739974,Apr/04/2023 18:33,DARK-N,Restore the Array,1811,C
200730671,Apr/04/2023 18:19,DARK-N,Conveyor Belts,1811,B
200694108,Apr/04/2023 17:38,DARK-N,Insert Digit,1811,A
200634897,Apr/04/2023 07:13,DARK-N,Count Mix Strings,100883,G
200634444,Apr/04/2023 07:04,DARK-N,Too Many Coins,100883,C
200633421,Apr/04/2023 06:42,DARK-N,palprime,100883,J
200631969,Apr/04/2023 06:08,DARK-N,Print Mix Strings,100883,F
200504747,Apr/03/2023 08:00,DARK-N,Place for a Selfie,1805,C
200504314,Apr/03/2023 07:53,DARK-N,We Need the Zero,1805,A
200404061,Apr/02/2023 17:54,DARK-N,We Need the Zero,1805,A
200399206,Apr/02/2023 17:48,DARK-N,The String Has a Target,1805,B
200214671,Apr/01/2023 18:29,DARK-N,Are You a Robot?,1812,A
200106228,Apr/01/2023 12:59,DARK-N,Make It Permutation,1810,C
200105459,Apr/01/2023 12:52,DARK-N,Make It Permutation,1810,C
200100426,Apr/01/2023 12:03,DARK-N,Candies,1810,B
200096564,Apr/01/2023 11:26,DARK-N,Beautiful Sequence,1810,A
199921498,Mar/31/2023 11:27,DARK-N,Xenia and Tree,342,E
199850090,Mar/30/2023 18:38,DARK-N,Xenia and Tree,342,E
199849853,Mar/30/2023 18:36,DARK-N,Xenia and Tree,342,E
199849125,Mar/30/2023 18:31,DARK-N,Xenia and Tree,342,E
199357704,Mar/27/2023 07:01,DARK-N,Three Sevens,1798,B
199356394,Mar/27/2023 06:41,DARK-N,Showstopper,1798,A
199042259,Mar/25/2023 08:52,DARK-N,Ant on the Tree,29,D
198801320,Mar/23/2023 18:40,DARK-N,Points on Plane,1809,B
198758104,Mar/23/2023 17:43,DARK-N,Garland,1809,A
198467835,Mar/21/2023 11:56,DARK-N,Dasha and Puzzle,761,E
198451448,Mar/21/2023 09:35,DARK-N,Baby Ehab Partitions Again,1516,C
198365872,Mar/20/2023 17:35,DARK-N,Bouncy Ball,1807,F
198340220,Mar/20/2023 12:59,DARK-N,Interview,1807,E
198180485,Mar/19/2023 18:35,DARK-N,Subsequence Addition (Easy Version),1807,G1
198174865,Mar/19/2023 18:29,DARK-N,Subsequence Addition (Hard Version),1807,G2
198151996,Mar/19/2023 18:11,DARK-N,Odd Queries,1807,D
198138274,Mar/19/2023 18:04,DARK-N,Find and Replace,1807,C
198128087,Mar/19/2023 18:00,DARK-N,Grab the Candies,1807,B
198121928,Mar/19/2023 17:58,DARK-N,Plus or Minus,1807,A
197993824,Mar/18/2023 19:43,DARK-N,Mex Master,1806,B
197989983,Mar/18/2023 19:14,DARK-N,Walking Master,1806,A
197900888,Mar/18/2023 14:22,DARK-N,One Way Reform,723,E
197652952,Mar/16/2023 17:32,DARK-N,The Very Beautiful Blanket,1802,C
197193680,Mar/13/2023 09:42,DARK-N,Classy Numbers,1036,C
196966783,Mar/11/2023 20:25,DARK-N,MinimizOR,1665,E
196700403,Mar/09/2023 21:13,DARK-N,Anton and Tree,734,E
196620453,Mar/09/2023 13:33,DARK-N,Settlement of Guinea Pigs,1802,B
196602416,Mar/09/2023 12:43,DARK-N,Likes,1802,A
196519923,Mar/08/2023 17:53,DARK-N,Longest k Good Segment,616,D
196516827,Mar/08/2023 17:20,DARK-N,The Labyrinth,616,C
196514249,Mar/08/2023 17:02,DARK-N,Dinner with Emma,616,B
196513874,Mar/08/2023 16:58,DARK-N,Comparing Two Long Integers,616,A
196439229,Mar/07/2023 23:32,DARK-N,Fire Again,35,C
196435864,Mar/07/2023 22:52,DARK-N,Okabe and City,821,D
196354078,Mar/07/2023 11:26,DARK-N,Police Stations,796,D
196353796,Mar/07/2023 11:24,DARK-N,Police Stations,796,D
196352802,Mar/07/2023 11:14,DARK-N,Police Stations,796,D
196301571,Mar/06/2023 21:54,DARK-N,Cycle In Maze,769,C
196273509,Mar/06/2023 18:04,DARK-N,Bear and Forgotten Tree 2,653,E
196162882,Mar/05/2023 19:50,DARK-N,Special Offer! Super Price 999 Bourles!,219,B
196104476,Mar/05/2023 11:09,DARK-N,Counting Kangaroos is Fun,373,C
196097980,Mar/05/2023 10:07,DARK-N,Scoring Subsequences,1794,C
196097099,Mar/05/2023 09:57,DARK-N,Prefix and Suffix Array,1794,A
196014453,Mar/04/2023 20:57,DARK-N,Not Dividing,1794,B
196004227,Mar/04/2023 20:41,DARK-N,Prefix and Suffix Array,1794,A
195996138,Mar/04/2023 19:39,DARK-N,Gardener and Tree,1593,E
195993009,Mar/04/2023 19:12,DARK-N,Perfect Keyboard,1303,C
195851308,Mar/03/2023 20:23,DARK-N,Print Check,631,B
195844476,Mar/03/2023 19:36,DARK-N,Unforgivable Curse (hard version),1800,E2
195842366,Mar/03/2023 19:21,DARK-N,Unforgivable Curse (hard version),1800,E2
195842325,Mar/03/2023 19:21,DARK-N,Unforgivable Curse (easy version),1800,E1
195835658,Mar/03/2023 18:39,DARK-N,Remove Two Letters,1800,D
195647622,Mar/02/2023 18:36,DARK-N,Powering the Hero (easy version),1800,C1
195647431,Mar/02/2023 18:36,DARK-N,Powering the Hero (hard version),1800,C2
195593503,Mar/02/2023 17:48,DARK-N,Count the Number of Pairs,1800,B
195582677,Mar/02/2023 17:38,DARK-N,Is It a Cat?,1800,A
195431233,Mar/01/2023 12:59,DARK-N,Jzzhu and Sequences,450,B
195428684,Mar/01/2023 12:30,DARK-N,Playing Cubes,257,B
195424719,Mar/01/2023 11:54,DARK-N,Thor,705,C
195351261,Feb/28/2023 19:33,DARK-N,Asterisk Minor Template,1796,B
195285543,Feb/28/2023 17:41,DARK-N,Typical Interview Problem,1796,A
195255401,Feb/28/2023 13:21,DARK-N,Queue,490,B
195242650,Feb/28/2023 11:00,DARK-N,Cosmic Tables,222,B
195240707,Feb/28/2023 10:36,DARK-N,Biathlon,84,C
195236736,Feb/28/2023 09:46,DARK-N,Hot Start Up (easy version),1799,D1
195183552,Feb/27/2023 20:07,DARK-N,Equalize by Divide,1799,B
195141023,Feb/27/2023 17:43,DARK-N,Recent Actions,1799,A
195108672,Feb/27/2023 12:34,DARK-N,Guess Your Way Out!,507,C
195100796,Feb/27/2023 10:53,DARK-N,Tennis Championship,735,C
195097841,Feb/27/2023 10:06,DARK-N,Alternative Thinking,604,C
195052024,Feb/26/2023 20:05,DARK-N,Text Editor,253,C
195032172,Feb/26/2023 11:57,DARK-N,Marina and Vasya,584,C
195025984,Feb/26/2023 10:44,DARK-N,Divide by Three,792,C
195021529,Feb/26/2023 09:48,DARK-N,Treasure Hunt,979,B
195018625,Feb/26/2023 09:09,DARK-N,Serval and Mocha's Array,1789,A
195018537,Feb/26/2023 09:07,DARK-N,Serval and Inversion Magic,1789,B
194761126,Feb/24/2023 12:11,DARK-N,Star sky,835,C
194757341,Feb/24/2023 11:27,DARK-N,The Meaningless Game,834,C
194665775,Feb/23/2023 14:24,DARK-N,"Hacker, pack your bags!",822,C
194442510,Feb/21/2023 13:49,DARK-N,Searching for Graph,402,C
194356353,Feb/20/2023 17:36,DARK-N,Parsa's Humongous Tree,1529,C
194150533,Feb/18/2023 21:19,DARK-N,Mocha and Diana (Easy Version),1559,D1
193963671,Feb/17/2023 10:35,DARK-N,Ideal Point,1795,B
193841637,Feb/16/2023 17:41,DARK-N,Two Towers,1795,A
193742201,Feb/15/2023 19:53,DARK-N,Different Differences,1772,C
193739700,Feb/15/2023 19:33,DARK-N,Matrix Rotation,1772,B
193738795,Feb/15/2023 19:26,DARK-N,A+B?,1772,A
193515729,Feb/13/2023 22:11,DARK-N,Dora and Search,1793,C
193513350,Feb/13/2023 21:46,DARK-N,Fedya and Array,1793,B
193509722,Feb/13/2023 21:12,DARK-N,Yet Another Promotion,1793,A
193087368,Feb/10/2023 19:26,DARK-N,Matching Numbers,1788,C
193072467,Feb/10/2023 17:26,DARK-N,Sum of Two Numbers,1788,B
193069568,Feb/10/2023 17:04,DARK-N,One and Two,1788,A
192779867,Feb/08/2023 21:33,DARK-N,Coffee Break,1041,C
192518945,Feb/06/2023 21:27,DARK-N,Monsters (easy version),1786,C
192516982,Feb/06/2023 21:12,DARK-N,Alternating Deck (hard version),1786,A2
192514126,Feb/06/2023 20:51,DARK-N,Non alternating Deck (easy version),1786,A1
192449941,Feb/06/2023 12:58,DARK-N,The least round way,2,B
192253049,Feb/05/2023 12:12,DARK-N,Teleporters (Hard Version),1791,G2
192252830,Feb/05/2023 12:11,DARK-N,Teleporters (Hard Version),1791,G2
191956019,Feb/03/2023 18:37,DARK-N,Teleporters (Easy Version),1791,G1
191945669,Feb/03/2023 18:28,DARK-N,Negatives and Positives,1791,E
191929470,Feb/03/2023 18:14,DARK-N,Range Update Point Query,1791,F
191886046,Feb/03/2023 17:48,DARK-N,Distinct Split,1791,D
191872801,Feb/03/2023 17:43,DARK-N,Prepend and Append,1791,C
191860547,Feb/03/2023 17:39,DARK-N,Following Directions,1791,B
191850996,Feb/03/2023 17:37,DARK-N,Codeforces Checking,1791,A
191547397,Feb/01/2023 17:38,DARK-N,Flip Flop Sum,1778,A
191355112,Jan/31/2023 12:24,DARK-N,Vasya and String,676,C
191301866,Jan/30/2023 22:20,DARK-N,Special Elements,1352,E
191298575,Jan/30/2023 21:46,DARK-N,Remove the Bracket,1787,C
191295519,Jan/30/2023 21:18,DARK-N,Remove the Bracket,1787,C
191131676,Jan/29/2023 18:23,DARK-N,Number Factorization,1787,B
191114943,Jan/29/2023 17:46,DARK-N,Exponential Equation,1787,A
191081284,Jan/29/2023 13:44,DARK-N,Binary String To Subsequences,1399,D
191078516,Jan/29/2023 13:17,DARK-N,Good String,1389,C
191071598,Jan/29/2023 12:10,DARK-N,Decrease the Sum of Digits,1409,D
190832978,Jan/27/2023 18:33,DARK-N,Matryoshkas,1790,D
190818737,Jan/27/2023 18:15,DARK-N,Premutation,1790,C
190800277,Jan/27/2023 17:56,DARK-N,Taisia and Dice,1790,B
190775530,Jan/27/2023 17:39,DARK-N,Polycarp and the Day of Pi,1790,A
190544469,Jan/25/2023 18:37,DARK-N,GCD Partition,1780,B
190497468,Jan/25/2023 17:39,DARK-N,Hayato and School,1780,A
190341149,Jan/24/2023 17:57,DARK-N,Stand up Comedian,1792,B
190325629,Jan/24/2023 17:41,DARK-N,GamingForces,1792,A
190130829,Jan/22/2023 21:45,DARK-N,Phoenix and Socks,1515,D
190011349,Jan/21/2023 18:50,DARK-N,Emordnilap,1777,B
189980481,Jan/21/2023 17:44,DARK-N,Everybody Likes Good Arrays!,1777,A
189859978,Jan/20/2023 18:54,DARK-N,Zoo,102267,J
189854083,Jan/20/2023 17:55,DARK-N,Ultimate Army,102267,I
189852034,Jan/20/2023 17:35,DARK-N,Circle of Polygon,102267,H
189851952,Jan/20/2023 17:34,DARK-N,Robots Easy,102267,D
189849567,Jan/20/2023 17:11,DARK-N,Birthday Puzzle,102267,K
189849433,Jan/20/2023 17:10,DARK-N,Birthday Puzzle,102267,K
189848794,Jan/20/2023 17:04,DARK-N,Primes,102267,B
189848670,Jan/20/2023 17:03,DARK-N,Matryoshka Dolls,102267,C
189848493,Jan/20/2023 17:01,DARK-N,Picky Eater,102267,A
189780436,Jan/19/2023 22:14,DARK-N,Codeforces Subsequences,1368,B
189717706,Jan/19/2023 11:55,DARK-N,Powered Addition,1339,C
189648204,Jan/18/2023 16:56,DARK-N,Simple Game,104101,J
189647160,Jan/18/2023 16:46,DARK-N,OP,104101,A
189313092,Jan/15/2023 15:20,DARK-N,Parallel Projection,1782,A
189101978,Jan/13/2023 15:51,DARK-N,k LCM (hard version),1497,C2
188917138,Jan/11/2023 21:16,DARK-N,Semifinals,378,B
188705383,Jan/10/2023 14:45,DARK-N,Gardener and the Capybaras (easy version),1775,A1
188705234,Jan/10/2023 14:45,DARK-N,Gardener and the Capybaras (hard version),1775,A2
188668188,Jan/10/2023 10:33,DARK-N,Matrix of Differences,1783,B
188664771,Jan/10/2023 09:56,DARK-N,Make it Beautiful,1783,A
188088270,Jan/05/2023 18:23,DARK-N,Quick Sort,1768,B
188048229,Jan/05/2023 17:37,DARK-N,Greatest Convex,1768,A
187916031,Jan/04/2023 14:54,DARK-N,Add Plus Minus Sign,1774,A
187772073,Jan/03/2023 18:15,DARK-N,MKnez's ConstructiveForces Task,1779,B
187735317,Jan/03/2023 17:45,DARK-N,Hall of Fame,1779,A
187324741,Dec/30/2022 18:43,DARK-N,Koxia and Permutation,1770,B
187317529,Dec/30/2022 18:34,DARK-N,Koxia and Whiteboards,1770,A
185483065,Dec/16/2022 17:51,DARK-N,Block Towers,1767,B
185477168,Dec/16/2022 17:45,DARK-N,Cut the Triangle,1767,A
185371873,Dec/15/2022 20:26,DARK-N,Make Array Good,1762,B
185302293,Dec/15/2022 17:40,DARK-N,Divide and Conquer,1762,A
185106206,Dec/13/2022 20:05,DARK-N,Fillomino 2,1517,C
184953290,Dec/12/2022 18:44,DARK-N,Hamiltonian Wall,1766,C
184922245,Dec/12/2022 17:53,DARK-N,Notepad#,1766,B
184908040,Dec/12/2022 17:38,DARK-N,Extremely Round,1766,A
184886373,Dec/12/2022 14:37,DARK-N,Hossam and Combinatorics,1771,A
184675285,Dec/11/2022 10:38,DARK-N,Adding Digits,260,A
184672211,Dec/11/2022 09:58,DARK-N,Candy Box (easy version),1183,D
184671476,Dec/11/2022 09:48,DARK-N,Fixing Typos,363,C
184604848,Dec/10/2022 20:04,DARK-N,Minimize the Permutation,1256,B
184601145,Dec/10/2022 19:30,DARK-N,Suffix Operations,1453,B
184567629,Dec/10/2022 15:04,DARK-N,Qpwoeirut And The City,1706,C
184500849,Dec/09/2022 21:54,DARK-N,Everyone is a Winner!,1263,C
184498116,Dec/09/2022 21:30,DARK-N,Swaps,1573,B
184438681,Dec/09/2022 12:18,DARK-N,The Child and Toy,437,C
184313205,Dec/08/2022 13:20,DARK-N,Make Good,1270,C
184309664,Dec/08/2022 12:43,DARK-N,Schedule Management,1701,C
184305925,Dec/08/2022 12:05,DARK-N,NEKO's Maze Game,1293,C
184183730,Dec/07/2022 12:21,DARK-N,Great Graphs,1541,C
184161165,Dec/07/2022 07:01,DARK-N,Array Splitting,1197,C
184159913,Dec/07/2022 06:29,DARK-N,Sum of Substrings,1691,C
184078748,Dec/06/2022 12:12,DARK-N,Berland Crossword,1494,B
184076061,Dec/06/2022 11:42,DARK-N,Powers Of Two,1095,C
184074453,Dec/06/2022 11:20,DARK-N,The Delivery Dilemma,1443,C
184023897,Dec/05/2022 21:18,DARK-N,Dreamoon Likes Permutations,1330,B
184013891,Dec/05/2022 19:41,DARK-N,Two Brackets,1452,C
184012867,Dec/05/2022 19:32,DARK-N,Toy Blocks,1452,B
184008106,Dec/05/2022 18:46,DARK-N,Universal Solution,1380,B
183800878,Dec/04/2022 10:15,DARK-N,Wonderful Coloring   1,1551,B1
183800634,Dec/04/2022 10:12,DARK-N,Wonderful Coloring   2,1551,B2
183797807,Dec/04/2022 09:34,DARK-N,Palindromes Coloring,1624,D
183795619,Dec/04/2022 09:03,DARK-N,Meximum Array,1629,C
183715570,Dec/03/2022 13:57,DARK-N,Dominant Character,1605,C
183714754,Dec/03/2022 13:49,DARK-N,Dominant Character,1605,C
183709102,Dec/03/2022 12:57,DARK-N,Diverse Garland,1108,D
183705834,Dec/03/2022 12:32,DARK-N,String Equality,1451,C
183571382,Dec/02/2022 11:24,DARK-N,Journey Planning,1321,B
183569148,Dec/02/2022 10:57,DARK-N,Unstable String,1535,C
183566429,Dec/02/2022 10:24,DARK-N,Berland Regional,1519,C
183511667,Dec/01/2022 20:16,DARK-N,Phoenix and Towers,1515,C
183506830,Dec/01/2022 19:39,DARK-N,Add to Neighbour and Remove,1462,D
183504446,Dec/01/2022 19:17,DARK-N,National Project,1303,B
183337337,Nov/30/2022 12:11,DARK-N,Web of Lies,1549,C
183328433,Nov/30/2022 11:23,DARK-N,Simple Polygon Embedding,1354,C1
183323722,Nov/30/2022 10:33,DARK-N,Polo the Penguin and Matrix,289,B
183322988,Nov/30/2022 10:26,DARK-N,Polo the Penguin and Matrix,289,B
183203800,Nov/29/2022 15:04,DARK-N,Ant colony,474,F
183202625,Nov/29/2022 14:53,DARK-N,Accidental Victory,1490,E
183153969,Nov/29/2022 11:06,DARK-N,Applejack and Storages,1393,B
183149534,Nov/29/2022 10:06,DARK-N,Johnny and Another Rating Drop,1362,C
182982843,Nov/28/2022 11:39,DARK-N,Composite Coloring,1332,B
182979249,Nov/28/2022 10:53,DARK-N,Find The Array,1463,B
182975357,Nov/28/2022 09:57,DARK-N,Game With Array,1355,D
182930965,Nov/27/2022 19:36,DARK-N,Epic Transformation,1506,D
182929371,Nov/27/2022 19:20,DARK-N,Team,401,C
182927319,Nov/27/2022 19:00,DARK-N,Create The Teams,1380,C
182918397,Nov/27/2022 17:40,DARK-N,Torus Path,1765,K
182915961,Nov/27/2022 17:20,DARK-N,Torus Path,1765,K
182849023,Nov/27/2022 14:59,DARK-N,Watch the Videos,1765,D
182768049,Nov/27/2022 13:55,DARK-N,Exchange,1765,E
182767959,Nov/27/2022 13:55,DARK-N,Minimum LCM,1765,M
182766549,Nov/27/2022 13:46,DARK-N,Broken Keyboard,1765,B
182766398,Nov/27/2022 13:45,DARK-N,Broken Keyboard,1765,B
182607666,Nov/26/2022 10:16,DARK-N,Almost All Multiples,1758,C
182503831,Nov/25/2022 19:10,DARK-N,XOR = Average,1758,B
182483293,Nov/25/2022 18:38,DARK-N,SSeeeeiinngg DDoouubbllee,1758,A
182386991,Nov/24/2022 20:25,DARK-N,Matching Mispronunciations,103241,G
182383582,Nov/24/2022 19:53,DARK-N,Making Stonks,103241,J
182381320,Nov/24/2022 19:33,DARK-N,Chessbot's Lawn,103241,I
182380307,Nov/24/2022 19:24,DARK-N,Position of Set,103241,H
182380224,Nov/24/2022 19:24,DARK-N,Position of Set,103241,H
182379959,Nov/24/2022 19:22,DARK-N,Lattice Flowers,103241,C
182379440,Nov/24/2022 19:17,DARK-N,Abc's (Easy Version),103241,D
182378910,Nov/24/2022 19:13,DARK-N,Books,103241,F
182378613,Nov/24/2022 19:11,DARK-N,Calculating Costs,103241,E
182377455,Nov/24/2022 19:02,DARK-N,P=NP,103241,A
182026896,Nov/21/2022 19:48,DARK-N,SlavicG's Favorite Problem,1760,G
182003325,Nov/21/2022 19:10,DARK-N,Quests,1760,F
181987495,Nov/21/2022 18:48,DARK-N,Challenging Valleys,1760,D
181945009,Nov/21/2022 18:03,DARK-N,Binary Inversions,1760,E
181908522,Nov/21/2022 17:40,DARK-N,Advantage,1760,C
181900486,Nov/21/2022 17:38,DARK-N,Atilla's Favorite Problem,1760,B
181895093,Nov/21/2022 17:36,DARK-N,Medium Number,1760,A
181812116,Nov/20/2022 21:48,DARK-N,Elimination of a Ring,1761,B
181811015,Nov/20/2022 21:36,DARK-N,Two Permutations,1761,A
181640365,Nov/19/2022 19:53,DARK-N,Thermostat,1759,C
181515278,Nov/18/2022 19:53,DARK-N,The Humanoid,1759,E
181433041,Nov/18/2022 17:44,DARK-N,Lost Permutation,1759,B
181428175,Nov/18/2022 17:39,DARK-N,Yes Yes?,1759,A
181225673,Nov/16/2022 19:34,DARK-N,Ball in Berland,1475,C
181220409,Nov/16/2022 18:40,DARK-N,RationalLee,1369,C
180964683,Nov/14/2022 14:19,DARK-N,Down the Hatch!,332,A
180613894,Nov/12/2022 17:39,DARK-N,The Ultimate Square,1748,A
180439350,Nov/11/2022 11:59,DARK-N,Orac and Models,1350,B
180436357,Nov/11/2022 11:32,DARK-N,Element Extermination,1375,C
180434154,Nov/11/2022 11:08,DARK-N,Fadi and LCM,1285,C
180181874,Nov/09/2022 13:19,DARK-N,Zero Remainder Array,1374,D
180176061,Nov/09/2022 12:15,DARK-N,Number Game,1370,C
180174860,Nov/09/2022 12:01,DARK-N,Phoenix and Beauty,1348,B
180119510,Nov/08/2022 20:39,DARK-N,Little Pony and Expected Maximum,454,C
180116154,Nov/08/2022 20:07,DARK-N,New Year and Ascent Sequence,1284,B
180100270,Nov/08/2022 17:49,DARK-N,New Year and Naming,1284,A
179272827,Nov/04/2022 19:08,DARK-N,Swap Game,1747,C
179238880,Nov/04/2022 18:12,DARK-N,BAN BAN,1747,B
179200072,Nov/04/2022 17:37,DARK-N,Two Groups,1747,A
178594161,Oct/30/2022 18:10,DARK-N,Valera and Elections,369,C
178519756,Oct/30/2022 15:05,DARK-N,Timofey and a tree,764,C
178335675,Oct/29/2022 12:25,DARK-N,Jumbo Extra Cheese 2,1740,B
178324306,Oct/29/2022 12:11,DARK-N,Factorise N+M,1740,A
178274532,Oct/28/2022 23:01,DARK-N,Number,103451,J
178273987,Oct/28/2022 22:54,DARK-N,Number,103451,J
178272467,Oct/28/2022 22:37,DARK-N,Krosh and powers of two,103451,D
178272132,Oct/28/2022 22:33,DARK-N,Krosh and powers of two,103451,D
178269329,Oct/28/2022 22:03,DARK-N,Game,103451,A
178212194,Oct/28/2022 14:55,DARK-N,Party Lemonade,913,C
178056289,Oct/27/2022 08:28,DARK-N,Interesting Subarray,1270,B
178055949,Oct/27/2022 08:23,DARK-N,Card Game,1270,A
177615659,Oct/23/2022 13:34,DARK-N,Ugu,1732,B
177611523,Oct/23/2022 13:23,DARK-N,Bestie,1732,A
177578172,Oct/23/2022 11:48,DARK-N,Kevin and Permutation,1754,B
177534024,Oct/23/2022 10:54,DARK-N,Technical Support,1754,A
177474643,Oct/22/2022 19:15,DARK-N,Magic Numbers,628,D
177474513,Oct/22/2022 19:14,DARK-N,Magic Numbers,628,D
177184153,Oct/20/2022 18:31,DARK-N,Number Game,1749,C
177171704,Oct/20/2022 18:10,DARK-N,Death's Blessing,1749,B
177144312,Oct/20/2022 17:37,DARK-N,Cowardly Rooks,1749,A
176748465,Oct/17/2022 18:36,DARK-N,Save the Magazines,1743,C
176723932,Oct/17/2022 17:57,DARK-N,Permutation Value,1743,B
176720983,Oct/17/2022 17:54,DARK-N,Password,1743,A
176530731,Oct/16/2022 18:09,DARK-N,Traffic Light,1744,C
176511853,Oct/16/2022 17:46,DARK-N,Even Odd Increments,1744,B
176507427,Oct/16/2022 17:41,DARK-N,Number Replacement,1744,A
176392146,Oct/15/2022 21:58,DARK-N,Permutation Operations,1746,C
176335987,Oct/15/2022 18:09,DARK-N,Rebellion,1746,B
176313962,Oct/15/2022 17:40,DARK-N,Maxmina,1746,A
176141819,Oct/14/2022 14:40,DARK-N,Diverse Matrix,1266,C
176104183,Oct/14/2022 09:01,DARK-N,Dice Tower,1266,B
176102164,Oct/14/2022 08:41,DARK-N,Competitive Programmer,1266,A
176095549,Oct/14/2022 07:20,DARK-N,Smaller,1742,F
176052384,Oct/13/2022 20:34,DARK-N,Stripes,1742,C
176011402,Oct/13/2022 19:13,DARK-N,Coprime,1742,D
176008120,Oct/13/2022 19:09,DARK-N,Scuza,1742,E
175897665,Oct/13/2022 17:37,DARK-N,Increasing,1742,B
175891292,Oct/13/2022 17:36,DARK-N,Sum,1742,A
175724108,Oct/12/2022 10:17,DARK-N,Sending a Sequence Over the Network,1741,E
175649241,Oct/11/2022 19:24,DARK-N,Minimize the Thickness,1741,C
175634335,Oct/11/2022 18:55,DARK-N,Masha and a Beautiful Tree,1741,D
175574627,Oct/11/2022 17:47,DARK-N,Funny Permutation,1741,B
175564869,Oct/11/2022 17:40,DARK-N,Compare T Shirt Sizes,1741,A
175457209,Oct/10/2022 21:48,DARK-N,Good Subarrays (Easy Version),1736,C1
175450131,Oct/10/2022 20:43,DARK-N,Playing with GCD,1736,B
175376579,Oct/10/2022 17:45,DARK-N,Make A Equal to B,1736,A
175171317,Oct/08/2022 21:03,DARK-N,Table Decorations,478,C
175162205,Oct/08/2022 19:26,DARK-N,Mixing Water,1359,C
175152623,Oct/08/2022 17:56,DARK-N,Ela's Fitness and the Luxury Number,1737,B
175007469,Oct/07/2022 18:45,DARK-N,Ela Sorting Books,1737,A
174768739,Oct/05/2022 19:55,DARK-N,Engineer Artem,1438,C
174764318,Oct/05/2022 19:08,DARK-N,Interesting Story,1551,C
174716108,Oct/05/2022 11:41,DARK-N,Color the Fence,349,B
174710508,Oct/05/2022 10:50,DARK-N,Solve The Maze,1365,D
174635456,Oct/04/2022 17:29,DARK-N,Path Prefixes,1714,G
174610544,Oct/04/2022 13:35,DARK-N,Password,127,D
